position,representation,probe_seed,class_index,tag_id,precision,recall,f1,support_blocks,unit
P2,RAW_SIGNAL_281,45,5,6,0.2727272727272727,0.3333333333333333,0.3,9,condition_block
P2,RAW_SIGNAL_281,45,6,7,0.125,0.1111111111111111,0.11764705882352941,9,condition_block
P2,RAW_SIGNAL_281,46,0,1,0.4,0.2222222222222222,0.2857142857142857,9,condition_block
P2,RAW_SIGNAL_281,46,1,2,0.25,0.2222222222222222,0.23529411764705882,9,condition_block
P2,RAW_SIGNAL_281,46,2,3,0.25,0.2222222222222222,0.23529411764705882,9,condition_block
P2,RAW_SIGNAL_281,46,3,4,0.08333333333333333,0.1111111111111111,0.09523809523809525,9,condition_block
P2,RAW_SIGNAL_281,46,4,5,0.3333333333333333,0.5555555555555556,0.4166666666666667,9,condition_block
P2,RAW_SIGNAL_281,46,5,6,0.2,0.2222222222222222,0.2105263157894737,9,condition_block
P2,RAW_SIGNAL_281,46,6,7,0.2,0.1111111111111111,0.14285714285714285,9,condition_block
P2,FIRST_DIFFERENCE_280,42,0,1,0.5,0.2222222222222222,0.30769230769230765,9,condition_block
P2,FIRST_DIFFERENCE_280,42,1,2,0.5,0.2222222222222222,0.30769230769230765,9,condition_block
P2,FIRST_DIFFERENCE_280,42,2,3,0.38461538461538464,0.5555555555555556,0.4545454545454546,9,condition_block
P2,FIRST_DIFFERENCE_280,42,3,4,0.2222222222222222,0.2222222222222222,0.2222222222222222,9,condition_block
P2,FIRST_DIFFERENCE_280,42,4,5,0.42857142857142855,0.3333333333333333,0.375,9,condition_block
P2,FIRST_DIFFERENCE_280,42,5,6,0.23529411764705882,0.4444444444444444,0.30769230769230765,9,condition_block
P2,FIRST_DIFFERENCE_280,42,6,7,0.1111111111111111,0.1111111111111111,0.1111111111111111,9,condition_block
P2,FIRST_DIFFERENCE_280,43,0,1,0.2857142857142857,0.2222222222222222,0.25,9,condition_block
P2,FIRST_DIFFERENCE_280,43,1,2,0.4,0.2222222222222222,0.2857142857142857,9,condition_block
P2,FIRST_DIFFERENCE_280,43,2,3,0.45454545454545453,0.5555555555555556,0.5,9,condition_block
P2,FIRST_DIFFERENCE_280,43,3,4,0.2222222222222222,0.2222222222222222,0.2222222222222222,9,condition_block
P2,FIRST_DIFFERENCE_280,43,4,5,0.25,0.1111111111111111,0.15384615384615383,9,condition_block
P2,FIRST_DIFFERENCE_280,43,5,6,0.2,0.4444444444444444,0.2758620689655173,9,condition_block
P2,FIRST_DIFFERENCE_280,43,6,7,0.14285714285714285,0.1111111111111111,0.125,9,condition_block
P2,FIRST_DIFFERENCE_280,44,0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,9,condition_block
P2,FIRST_DIFFERENCE_280,44,1,2,0.0,0.0,0.0,9,condition_block
P2,FIRST_DIFFERENCE_280,44,2,3,0.2777777777777778,0.5555555555555556,0.3703703703703704,9,condition_block
P2,FIRST_DIFFERENCE_280,44,3,4,0.14285714285714285,0.1111111111111111,0.125,9,condition_block
P2,FIRST_DIFFERENCE_280,44,4,5,0.0,0.0,0.0,9,condition_block
P2,FIRST_DIFFERENCE_280,44,5,6,0.17647058823529413,0.3333333333333333,0.23076923076923078,9,condition_block
P2,FIRST_DIFFERENCE_280,44,6,7,0.0,0.0,0.0,9,condition_block
P2,FIRST_DIFFERENCE_280,45,0,1,0.375,0.3333333333333333,0.35294117647058826,9,condition_block
