arm,budget,source_seed,support_seed,fold,query_rows,tagid_centroid_ratio_source,tagid_centroid_ratio_adapted,condition_centroid_ratio_source,condition_centroid_ratio_adapted,embedding_mean_cosine_to_source,embedding_rms_displacement
PARTIAL_FT,100,42,104729,0,1050,0.3990714458917763,0.4009297081951619,0.41990173673034487,0.3955721922650352,0.9407858852412623,0.17094370086157357
PARTIAL_FT,100,42,104729,1,1050,0.24062580635084932,0.23183322134199916,0.3563884454676551,0.366862354243027,0.9697163792231402,0.12092005612788041
PARTIAL_FT,100,42,104729,2,1050,0.39355465087183666,0.3862561682109186,0.15314837067103762,0.159759966087861,0.9413794812308405,0.17130169551747482
PARTIAL_FT,100,43,104729,0,1050,0.35083553380685667,0.34773574560821396,0.38201907862816953,0.3728722332734043,0.93672127744007,0.17369068027494936
PARTIAL_FT,100,43,104729,1,1050,0.4318675011667974,0.4031955527346898,0.23652941827618412,0.2511283679649553,0.9586539499038949,0.13844622995850014
PARTIAL_FT,100,43,104729,2,1050,0.2850925954436252,0.30192969108053164,0.23770033773934993,0.22054480322483364,0.9384424712227858,0.17075689118447707
PARTIAL_FT,100,44,104729,0,1050,0.3359376394132354,0.33901175722029536,0.4439472881156281,0.41871051180075697,0.9369275281510234,0.162671183397853
PARTIAL_FT,100,44,104729,1,1050,0.3252165218598714,0.3004212890522643,0.363643755463654,0.3965283210713953,0.9488302251337724,0.14524717269396623
PARTIAL_FT,100,44,104729,2,1050,0.31484181963156,0.32403546101561786,0.24465927245371194,0.23465475512891967,0.9432091923722095,0.15186931103393023
PARTIAL_FT,100,45,104729,0,1050,0.291454039461642,0.29800180403242216,0.5925137757724315,0.5620392682389606,0.9426857815184775,0.16185145854836416
PARTIAL_FT,100,45,104729,1,1050,0.399019870354545,0.37850079164890604,0.3571025649385932,0.39267246430034924,0.9660301151216597,0.12289909357112883
PARTIAL_FT,100,45,104729,2,1050,0.35867493003009143,0.3519794634849044,0.24192022701435978,0.25207023256285027,0.9426164552363807,0.16325525197204865
PARTIAL_FT,100,46,104729,0,1050,0.28430178392109473,0.28738691122188437,0.48597869679004074,0.46371864173669225,0.9471087252679168,0.15407457638582478
PARTIAL_FT,100,46,104729,1,1050,0.3619087135286337,0.3446846165988151,0.2742901087423937,0.28205847887776386,0.9691693153078585,0.11641772755114406
PARTIAL_FT,100,46,104729,2,1050,0.39790910279146224,0.3802386313722473,0.1826697627210754,0.19033706940007483,0.940781643079816,0.16243574742343989
PARTIAL_FT,500,42,104729,0,1050,0.3990714458917763,0.40453120104628054,0.41990173673034487,0.39137207783177397,0.9387430408364549,0.1744767661977698
PARTIAL_FT,500,42,104729,1,1050,0.24062580635084932,0.2302204572846282,0.3563884454676551,0.372600424521177,0.9697888279267112,0.12104434765636256
PARTIAL_FT,500,42,104729,2,1050,0.39355465087183666,0.3856025990338137,0.15314837067103762,0.15912115170259855,0.9358853438869089,0.1800157057090052
PARTIAL_FT,500,43,104729,0,1050,0.35083553380685667,0.3466952562784718,0.38201907862816953,0.37337771781320944,0.9388117137395255,0.17066679796563222
PARTIAL_FT,500,43,104729,1,1050,0.4318675011667974,0.40395686710745143,0.23652941827618412,0.25019919187890904,0.955657829877943,0.1437051098929586
PARTIAL_FT,500,43,104729,2,1050,0.2850925954436252,0.3025199877142303,0.23770033773934993,0.22192962017313675,0.9343861239502376,0.17660871947005577
PARTIAL_FT,500,44,104729,0,1050,0.3359376394132354,0.3407479497486835,0.4439472881156281,0.4085585446574647,0.9374441451082656,0.1621987954020441
PARTIAL_FT,500,44,104729,1,1050,0.3252165218598714,0.29779096852857534,0.363643755463654,0.39488941361346325,0.9515190597825014,0.1412762330119603
PARTIAL_FT,500,44,104729,2,1050,0.31484181963156,0.32504518999638565,0.24465927245371194,0.23291648403228615,0.9443441066055881,0.15004248180019744
PARTIAL_FT,500,45,104729,0,1050,0.291454039461642,0.2976674128623497,0.5925137757724315,0.5542841024355115,0.9400738892095324,0.1659910815430496
PARTIAL_FT,500,45,104729,1,1050,0.399019870354545,0.37383928306411696,0.3571025649385932,0.3960455679741819,0.9636632393123199,0.12727713399757998
PARTIAL_FT,500,45,104729,2,1050,0.35867493003009143,0.3532581378681299,0.24192022701435978,0.24969843727022675,0.9400677252839778,0.1665062544186112
PARTIAL_FT,500,46,104729,0,1050,0.28430178392109473,0.29110197023383594,0.48597869679004074,0.45414413214474547,0.9457329472891073,0.15723679939204133
PARTIAL_FT,500,46,104729,1,1050,0.3619087135286337,0.34394385183959875,0.2742901087423937,0.280366854016233,0.9678379120359891,0.11906584680747359
PARTIAL_FT,500,46,104729,2,1050,0.39790910279146224,0.3800038635379602,0.1826697627210754,0.18977130990334706,0.9414817929750142,0.16177026834950353
FULL_FT,35,42,104729,0,1050,0.3990714458917763,0.3888732214099918,0.41990173673034487,0.3998990463366091,0.9565553722212496,0.14509934443630718
FULL_FT,35,42,104729,1,1050,0.24062580635084932,0.23155375217717572,0.3563884454676551,0.3630350673602346,0.9768503267254922,0.10541264578249282
