method,budget,true_class_index,predicted_class_index,count_across_100_units,row_normalized
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,35,1,0,5325,0.11833333333333333
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,35,1,1,6967,0.15482222222222222
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,35,1,2,12396,0.2754666666666667
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,35,1,3,5578,0.12395555555555555
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,35,1,4,1564,0.03475555555555555
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,35,1,5,6596,0.14657777777777778
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,35,1,6,6574,0.14608888888888888
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,35,2,0,9355,0.2078888888888889
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,35,2,1,3999,0.08886666666666666
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,35,2,2,9015,0.20033333333333334
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,35,2,3,1899,0.0422
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,35,2,4,2450,0.05444444444444444
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,35,2,5,11228,0.2495111111111111
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,35,2,6,7054,0.15675555555555556
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,35,3,0,8828,0.19617777777777778
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,35,3,1,9604,0.21342222222222224
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,35,3,2,7196,0.15991111111111111
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,35,3,3,2497,0.055488888888888886
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,35,3,4,3657,0.08126666666666667
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,35,3,5,3052,0.06782222222222223
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,35,3,6,10166,0.22591111111111112
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,35,4,0,5002,0.11115555555555555
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,35,4,1,4972,0.11048888888888889
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,35,4,2,5976,0.1328
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,35,4,3,8895,0.19766666666666666
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,35,4,4,5137,0.11415555555555555
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,35,4,5,8578,0.19062222222222222
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,35,4,6,6440,0.1431111111111111
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,35,5,0,9072,0.2016
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,35,5,1,7222,0.16048888888888888
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,35,5,2,951,0.021133333333333334
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,35,5,3,11909,0.26464444444444446
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,35,5,4,7322,0.1627111111111111
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,35,5,5,5140,0.11422222222222222
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,35,5,6,3384,0.0752
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,35,6,0,11942,0.26537777777777777
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,35,6,1,3863,0.08584444444444445
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,35,6,2,4619,0.10264444444444444
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,35,6,3,4493,0.09984444444444444
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,35,6,4,1050,0.023333333333333334
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,35,6,5,6348,0.14106666666666667
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,35,6,6,12685,0.2818888888888889
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,100,0,0,3833,0.08517777777777778
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,100,0,1,6292,0.1398222222222222
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,100,0,2,10365,0.23033333333333333
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,100,0,3,2285,0.050777777777777776
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,100,0,4,5138,0.11417777777777778
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,100,0,5,5977,0.13282222222222223
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,100,0,6,11110,0.24688888888888888
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,100,1,0,5380,0.11955555555555555
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,100,1,1,6420,0.14266666666666666
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,100,1,2,12067,0.26815555555555554
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,100,1,3,5947,0.13215555555555555
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,100,1,4,1600,0.035555555555555556
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,100,1,5,6153,0.13673333333333335
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,100,1,6,7433,0.16517777777777778
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,100,2,0,9327,0.20726666666666665
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,100,2,1,4048,0.08995555555555555
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,100,2,2,8602,0.19115555555555555
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,100,2,3,1398,0.031066666666666666
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,100,2,4,2282,0.05071111111111111
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,100,2,5,11362,0.2524888888888889
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,100,2,6,7981,0.17735555555555554
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,100,3,0,8839,0.19642222222222222
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,100,3,1,8953,0.19895555555555555
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,100,3,2,7911,0.1758
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,100,3,3,1968,0.04373333333333333
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,100,3,4,3760,0.08355555555555555
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,100,3,5,3528,0.0784
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,100,3,6,10041,0.22313333333333332
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,100,4,0,5100,0.11333333333333333
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,100,4,1,4756,0.10568888888888889
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,100,4,2,5640,0.12533333333333332
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,100,4,3,9262,0.2058222222222222
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,100,4,4,5385,0.11966666666666667
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,100,4,5,8768,0.19484444444444443
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,100,4,6,6089,0.1353111111111111
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,100,5,0,9681,0.21513333333333334
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,100,5,1,7414,0.16475555555555554
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,100,5,2,850,0.01888888888888889
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,100,5,3,12464,0.27697777777777777
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,100,5,4,7382,0.16404444444444444
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,100,5,5,4726,0.10502222222222223
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,100,5,6,2483,0.05517777777777778
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,100,6,0,11426,0.2539111111111111
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,100,6,1,3580,0.07955555555555556
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,100,6,2,4542,0.10093333333333333
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,100,6,3,4557,0.10126666666666667
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,100,6,4,1000,0.022222222222222223
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,100,6,5,7085,0.15744444444444444
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,100,6,6,12810,0.2846666666666667
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,500,0,0,3489,0.07753333333333333
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,500,0,1,6955,0.15455555555555556
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,500,0,2,10079,0.22397777777777778
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,500,0,3,2003,0.04451111111111111
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,500,0,4,4809,0.10686666666666667
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,500,0,5,6046,0.13435555555555556
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,500,0,6,11619,0.2582
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,500,1,0,5471,0.12157777777777778
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,500,1,1,6341,0.1409111111111111
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,500,1,2,12115,0.2692222222222222
