arm,budget,source_seed,support_seed,fold,prediction_sha256,prediction_frozen_before_open,label_access_phase,seal_state_after_open
PARTIAL_FT,7,42,455003,0,37f8b47f683170c1cb3c821cf232875a3a53e01bb8ab66ee24f88b1ae5439516,True,FINAL_SCORING_ONLY,LABELS_OPENED
FULL_FT,7,42,455003,0,dd33349f91d0799f26d499e371e65fe694d4c9e224f68929069f48a22b2a6fe0,True,FINAL_SCORING_ONLY,LABELS_OPENED
PARTIAL_FT,35,42,455003,0,4e24d690abe861e1dab962869e7148cc4bde96497a06d79927e1e13f9199083c,True,FINAL_SCORING_ONLY,LABELS_OPENED
FULL_FT,35,42,455003,0,3a93b4f825174311326f2aa15039912f6ea9d7a4c7e575a365b13a4a53fa18c7,True,FINAL_SCORING_ONLY,LABELS_OPENED
PARTIAL_FT,100,42,455003,0,e70abbe506fb16e571ed3dd255557dbf4ccefe2d443447be8e3f05b30ffc250b,True,FINAL_SCORING_ONLY,LABELS_OPENED
FULL_FT,100,42,455003,0,07c726b3da98ccb5bad80b4d9a0083fd2eae09acc867570e82f13033b28651bc,True,FINAL_SCORING_ONLY,LABELS_OPENED
PARTIAL_FT,500,42,455003,0,7bc423b49b352ec2aeca9f59f30de48fae81e53bb0fe729ed97879781df80c81,True,FINAL_SCORING_ONLY,LABELS_OPENED
FULL_FT,500,42,455003,0,454b0fafbb3057811c44fd821bf3ecbc8bcad558f022e06abeb2c0c88c20d9c8,True,FINAL_SCORING_ONLY,LABELS_OPENED
PARTIAL_FT,7,42,480017,0,679cab6b11a653f0b75acc538eede98a67e888786d94b562952f222da38fed02,True,FINAL_SCORING_ONLY,LABELS_OPENED
FULL_FT,7,42,480017,0,103ba75b07a0ef0d0b7db2171571124adcbf8c3038cc228f509a9651d47e4933,True,FINAL_SCORING_ONLY,LABELS_OPENED
PARTIAL_FT,35,42,480017,0,a5177dac6ae42fa1f9eb54f9f56160a5c3cbe31f9e154db80dec94afae908286,True,FINAL_SCORING_ONLY,LABELS_OPENED
FULL_FT,35,42,480017,0,b627d274384f0d90fe0bbc885fcce74d72541d1f2a6e3b9152f0803d28bf52ca,True,FINAL_SCORING_ONLY,LABELS_OPENED
PARTIAL_FT,100,42,480017,0,a70168bf30f679ee033672890de1745bb7456320771d696eb9162eaf29322a69,True,FINAL_SCORING_ONLY,LABELS_OPENED
FULL_FT,100,42,480017,0,1c3b661c8201cb99d827ae0f347a7aeef8334aa38a169f3c68611fca83d306ff,True,FINAL_SCORING_ONLY,LABELS_OPENED
PARTIAL_FT,500,42,480017,0,7bc423b49b352ec2aeca9f59f30de48fae81e53bb0fe729ed97879781df80c81,True,FINAL_SCORING_ONLY,LABELS_OPENED
FULL_FT,500,42,480017,0,19d405048e2309d3105e7358e6c9ddbba64fa4768f678df1aa0feed1d1bbc9ec,True,FINAL_SCORING_ONLY,LABELS_OPENED
PARTIAL_FT,7,42,505027,0,228bf46562bb9784f59b9f2f0385c4b4ef130809f795e3788c4af4089d0b8797,True,FINAL_SCORING_ONLY,LABELS_OPENED
FULL_FT,7,42,505027,0,8e740d6dd884ebf6e7da4ba92cc6a677ed961636e6627da7a714cc44a3814ba9,True,FINAL_SCORING_ONLY,LABELS_OPENED
PARTIAL_FT,35,42,505027,0,db3c35064d795d975a19215cb15a28db4ee2edb97ae484ee9567f0efea0ebb4a,True,FINAL_SCORING_ONLY,LABELS_OPENED
FULL_FT,35,42,505027,0,241b28ef0994f53c4a1cddbb7a1316e7a902df34ba9f6ddef4a2a2e7f62e92f7,True,FINAL_SCORING_ONLY,LABELS_OPENED
PARTIAL_FT,100,42,505027,0,4568b6d79e3a6acf0cd009d98e3f4471c4fffdc36447687532ff73e8b68e6e45,True,FINAL_SCORING_ONLY,LABELS_OPENED
FULL_FT,100,42,505027,0,2dc536c7e36c608e48f49a147f41e42a3a72fd69274def30123009c4b9927f64,True,FINAL_SCORING_ONLY,LABELS_OPENED
PARTIAL_FT,500,42,505027,0,7bc423b49b352ec2aeca9f59f30de48fae81e53bb0fe729ed97879781df80c81,True,FINAL_SCORING_ONLY,LABELS_OPENED
FULL_FT,500,42,505027,0,a839fcabbbca3023faaa713d4121ffa7ad5664d8e340f8e9b2c3090ca74d7534,True,FINAL_SCORING_ONLY,LABELS_OPENED
PARTIAL_FT,7,42,530017,0,49a87c16efe3ec3a3171c35f87b0365d6db2e8cf8f189ba95497aa56c79abd8c,True,FINAL_SCORING_ONLY,LABELS_OPENED
FULL_FT,7,42,530017,0,709e53c8f9c1243fa1831d37379cb9f2d90e9aeb7aae067847bf8cd6f0a9a39a,True,FINAL_SCORING_ONLY,LABELS_OPENED
PARTIAL_FT,35,42,530017,0,d4e5ee4a4228d7bc5dce7a690b702b175a1c56b7b68e7e4f532c7bfa30acc8fb,True,FINAL_SCORING_ONLY,LABELS_OPENED
FULL_FT,35,42,530017,0,2908082a391312403e5c62b035e733b252a999f69b793d90a55d18ce42ab82a4,True,FINAL_SCORING_ONLY,LABELS_OPENED
PARTIAL_FT,100,42,530017,0,2c4f727d964eb8de14255429a8b63275f2fc56c07d5152642996991b4776c8b1,True,FINAL_SCORING_ONLY,LABELS_OPENED
FULL_FT,100,42,530017,0,c81497aa0a92c5901122e064ccade8049d7eda63aeab7ae48fb79b4a6f5ae4de,True,FINAL_SCORING_ONLY,LABELS_OPENED
