method,budget,source_seed,support_seed,accuracy,macro_f1,balanced_accuracy,worst_class_f1,prediction_sha256
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,7,46,480017,0.1273015873015873,0.11023996975552687,0.1273015873015873,0.0,15d84d736bd4c8625aa9efa22a7002e165949c9b3aa22734890045092e55febe
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,7,46,505027,0.08857142857142856,0.07662638595499459,0.08857142857142859,0.0,26d4140fc2f8a87eb592018484a2700abcfb852e73098ec7a2031c7873a6999f
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,7,46,530017,0.2165079365079365,0.21572034323787212,0.2165079365079365,0.0,a1ce71f5508823e7574f2a052d9976bd9bcddbef09518efda838cd936cb1b6ef
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,7,46,555029,0.08349206349206349,0.07796373694153612,0.08349206349206349,0.0,ad7416bcb98e31bc109f57b12b37f799e20306ed6f8bbcf37b8beba2bf1b3916
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,7,46,580031,0.13047619047619047,0.1085344891420716,0.13047619047619047,0.0,72ba07660ac5335c2e34e43f4c4d23a83661b8e860406de9069127b9637ec9e4
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,35,42,104729,0.146984126984127,0.14695818601770677,0.146984126984127,0.034482758620689655,833d8fdbd98e6f92fffdfdc53d3032cf7b1dfc249a27f2ca8534a95df969f672
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,35,42,130363,0.13904761904761906,0.13748312209523705,0.13904761904761906,0.029484029484029485,f9dd53091c4f908d69e00ae4b81a3653a58e7b99e90a33611ab6ecb75e933f0f
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,35,42,155921,0.14507936507936509,0.14491153140710863,0.14507936507936509,0.02768166089965398,b5fe8003f1daaed072a61756aba7a16d006ca12592c8594834fae6a20ee0bea5
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,35,42,181081,0.13047619047619047,0.12949476447835023,0.13047619047619047,0.02771362586605081,28fe4bf5c5caa23d656b76a7e2ea99bcad3e763d093e7c7a7e082bba10aad4a0
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,35,42,205439,0.146984126984127,0.14785908525749636,0.146984126984127,0.03444316877152698,d8d04a265c50f86f9e1d8864c26f42adf1a1b86af99034cc952524fb5c8d99ae
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,35,42,230003,0.146984126984127,0.15106599315319857,0.146984126984127,0.030927835051546393,621db150a17d46921b7d73aa4e069859b7726cbbc5d8543a9ac2afbdd2b45b29
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,35,42,254959,0.13047619047619047,0.1300159803384174,0.13047619047619047,0.02761795166858458,7cf3d6c8d438fe5ea0bb1a38615939ec1267579249e35078915592c0a8ef695b
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,35,42,280001,0.14507936507936509,0.14715045730271545,0.14507936507936509,0.02481902792140641,e4f596ddc98b1b3a273a9d4d807ed80a0ce5f3d48bb53533b7844b9f58b53e57
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,35,42,305093,0.14126984126984127,0.1383750164759197,0.14126984126984127,0.0,76b46c6bcc090388264f130c23877d0fe83d1afbf911d71cebd76abdacefbf38
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,35,42,330017,0.14603174603174604,0.14585762486709103,0.14603174603174604,0.03260869565217391,fd180bcca01658ff4de8b8065536956fb17bba0ad5f84e7b5b9962bee4d388a6
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,35,42,355031,0.14507936507936509,0.14303867049775704,0.14507936507936509,0.03911342894393742,7aa4b22f9a77395835dcb5ceab6c76ecf2b07ee26c9cd6272630ea8bb75233ae
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,35,42,380041,0.16126984126984126,0.16213632760053429,0.16126984126984126,0.103954802259887,13c4c423b936cb44009a0b286161206eb3d48582becd4e8563e8aa05053c5173
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,35,42,405019,0.14603174603174604,0.1465215162588478,0.14603174603174604,0.03112033195020747,434a28fcd62be17aa0809d33eaa1e4ff5f87565fd6a240e9b26a986353fbc62e
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,35,42,430007,0.13047619047619047,0.12920827830683118,0.13047619047619047,0.02768166089965398,1f57fc99eb8cb9528339f73a1bbf6eab265123731889cf1f95b15aa8f7a6d3bd
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,35,42,455003,0.14095238095238094,0.13813330706404503,0.14095238095238094,0.031413612565445025,a85cfc837fe77af5afc09a072f1bfeee983e075b55719316600d4782a6bb59f3
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,35,42,480017,0.146984126984127,0.14821058640919005,0.146984126984127,0.030864197530864196,4c0a7fc6e8af809f0057945b4eda0352972f8c8a1e6e9596a50223c13f7910cb
