method,budget,class_index,ER,surface,rows_per_unit,mean_row_accuracy,unit_sd
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,35,1,0,2,50,0.3114,0.37487336528486526
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,35,1,1,0,50,0.1496,0.34961098380914757
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,35,1,1,1,50,0.01,0.09949874371066199
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,35,1,1,2,50,0.0,0.0
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,35,1,2,0,50,0.0,0.0
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,35,1,2,1,50,0.0,0.0
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,35,1,2,2,50,0.1074,0.23529819378822273
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,35,2,0,0,50,0.0112,0.09973244206375377
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,35,2,0,1,50,0.0,0.0
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,35,2,0,2,50,0.1068,0.22549891352288154
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,35,2,1,0,50,0.4092,0.4909372261297772
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,35,2,1,1,50,0.3954,0.4845274398834395
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,35,2,1,2,50,0.0216,0.046102494509516506
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,35,2,2,0,50,0.0,0.0
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,35,2,2,1,50,0.85,0.3570714214271425
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,35,2,2,2,50,0.0088,0.03063592662218657
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,35,3,0,0,50,0.1048,0.27846895697725443
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,35,3,0,1,50,0.237,0.2968686578269926
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,35,3,0,2,50,0.0,0.0
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,35,3,1,0,50,0.0634,0.047586132433724865
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,35,3,1,1,50,0.0,0.0
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,35,3,1,2,50,0.006,0.00916515138991168
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,35,3,2,0,50,0.0,0.0
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,35,3,2,1,50,0.0882,0.28045812521658203
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,35,3,2,2,50,0.0,0.0
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,35,4,0,0,50,0.0842,0.27017468423225743
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,35,4,0,1,50,0.0,0.0
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,35,4,0,2,50,0.0,0.0
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,35,4,1,0,50,0.0012,0.008400000000000001
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,35,4,1,1,50,0.0294,0.1376504268064578
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,35,4,1,2,50,0.2136,0.37718833492036835
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,35,4,2,0,50,0.0,0.0
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,35,4,2,1,50,0.6986,0.4158197205520682
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,35,4,2,2,50,0.0004,0.0028000000000000004
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,35,5,0,0,50,0.005,0.045814844755821225
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,35,5,0,1,50,0.0186,0.027749594591633227
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,35,5,0,2,50,0.2824,0.4420613532079003
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,35,5,1,0,50,0.0556,0.02706732347314747
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,35,5,1,1,50,0.6242,0.4818073889014156
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,35,5,1,2,50,0.0392,0.19203999583420112
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,35,5,2,0,50,0.003,0.013076696830622018
PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,35,5,2,1,50,0.0,0.0
