method,budget,strategy,source_seed,support_seed,class_index,predicted_query_blocks,predicted_query_rows
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,ER_BALANCED,42,181081,0,14,682
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,ER_BALANCED,42,181081,1,12,625
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,ER_BALANCED,42,181081,2,7,351
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,ER_BALANCED,42,181081,3,5,253
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,ER_BALANCED,42,181081,4,5,251
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,ER_BALANCED,42,181081,5,9,452
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,ER_BALANCED,42,181081,6,11,536
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,ER_BALANCED,42,205439,0,9,439
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,ER_BALANCED,42,205439,1,9,467
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,ER_BALANCED,42,205439,2,8,409
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,ER_BALANCED,42,205439,3,12,608
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,ER_BALANCED,42,205439,4,4,209
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,ER_BALANCED,42,205439,5,13,647
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,ER_BALANCED,42,205439,6,8,371
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,ER_BALANCED,43,104729,0,9,450
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,ER_BALANCED,43,104729,1,7,383
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,ER_BALANCED,43,104729,2,15,751
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,ER_BALANCED,43,104729,3,7,335
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,ER_BALANCED,43,104729,4,6,308
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,ER_BALANCED,43,104729,5,11,553
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,ER_BALANCED,43,104729,6,8,370
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,ER_BALANCED,43,130363,0,11,584
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,ER_BALANCED,43,130363,1,11,563
