analysis_class,method,budget,source_seed,support_seed,outer_fold,support_coverage_score,unique_er_levels,unique_surfaces,block_accuracy,block_macro_f1
ASSOCIATIONAL_EXPLORATORY,FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,43,155921,1,0.6666666666666666,3,2,0.09523809523809523,0.07653061224489796
ASSOCIATIONAL_EXPLORATORY,TARGET_ONLY_COSINE_PROTOTYPE,5,43,155921,1,0.775,3,3,0.09523809523809523,0.07936507936507937
ASSOCIATIONAL_EXPLORATORY,FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,5,43,155921,1,0.775,3,3,0.19047619047619047,0.17063492063492064
ASSOCIATIONAL_EXPLORATORY,TARGET_ONLY_COSINE_PROTOTYPE,1,43,181081,1,0.16666666666666666,1,1,0.09523809523809523,0.08843537414965986
ASSOCIATIONAL_EXPLORATORY,FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,1,43,181081,1,0.16666666666666666,1,1,0.047619047619047616,0.025974025974025976
ASSOCIATIONAL_EXPLORATORY,TARGET_ONLY_COSINE_PROTOTYPE,3,43,181081,1,0.5,2,2,0.09523809523809523,0.10317460317460317
ASSOCIATIONAL_EXPLORATORY,FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,43,181081,1,0.5,2,2,0.047619047619047616,0.025974025974025976
ASSOCIATIONAL_EXPLORATORY,TARGET_ONLY_COSINE_PROTOTYPE,5,43,181081,1,0.75,3,3,0.14285714285714285,0.09285714285714286
ASSOCIATIONAL_EXPLORATORY,FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,5,43,181081,1,0.75,3,3,0.19047619047619047,0.16825396825396827
ASSOCIATIONAL_EXPLORATORY,TARGET_ONLY_COSINE_PROTOTYPE,1,43,205439,1,0.16666666666666666,1,1,0.09523809523809523,0.08843537414965986
ASSOCIATIONAL_EXPLORATORY,FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,1,43,205439,1,0.16666666666666666,1,1,0.14285714285714285,0.12142857142857144
ASSOCIATIONAL_EXPLORATORY,TARGET_ONLY_COSINE_PROTOTYPE,3,43,205439,1,0.6666666666666666,3,2,0.09523809523809523,0.09285714285714286
ASSOCIATIONAL_EXPLORATORY,FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,43,205439,1,0.6666666666666666,3,2,0.09523809523809523,0.0642857142857143
ASSOCIATIONAL_EXPLORATORY,TARGET_ONLY_COSINE_PROTOTYPE,5,43,205439,1,0.8,3,3,0.09523809523809523,0.06168831168831169
ASSOCIATIONAL_EXPLORATORY,FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,5,43,205439,1,0.8,3,3,0.09523809523809523,0.0642857142857143
ASSOCIATIONAL_EXPLORATORY,TARGET_ONLY_COSINE_PROTOTYPE,1,43,104729,2,0.16666666666666666,1,1,0.19047619047619047,0.11355311355311357
ASSOCIATIONAL_EXPLORATORY,FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,1,43,104729,2,0.16666666666666666,1,1,0.14285714285714285,0.10068027210884353
ASSOCIATIONAL_EXPLORATORY,TARGET_ONLY_COSINE_PROTOTYPE,3,43,104729,2,0.6666666666666666,2,3,0.09523809523809523,0.0642857142857143
ASSOCIATIONAL_EXPLORATORY,FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,43,104729,2,0.6666666666666666,2,3,0.23809523809523808,0.20907029478458053
ASSOCIATIONAL_EXPLORATORY,TARGET_ONLY_COSINE_PROTOTYPE,5,43,104729,2,0.8,3,3,0.14285714285714285,0.11224489795918367
ASSOCIATIONAL_EXPLORATORY,FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,5,43,104729,2,0.8,3,3,0.047619047619047616,0.025974025974025976
ASSOCIATIONAL_EXPLORATORY,TARGET_ONLY_COSINE_PROTOTYPE,1,43,130363,2,0.16666666666666666,1,1,0.19047619047619047,0.17573696145124718
ASSOCIATIONAL_EXPLORATORY,FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,1,43,130363,2,0.16666666666666666,1,1,0.19047619047619047,0.13968253968253966
ASSOCIATIONAL_EXPLORATORY,TARGET_ONLY_COSINE_PROTOTYPE,3,43,130363,2,0.75,2,3,0.14285714285714285,0.1598639455782313
