support_selection_id,fold,support_seed,strategy,budget,selected_factor_cells,query_factor_cells,unique_er_levels,unique_surfaces,unique_factor_cells,er_count_imbalance,surface_count_imbalance,pairwise_factor_grid_dispersion,mean_pairwise_factor_grid_distance,minimum_query_to_support_factor_distance,mean_query_to_support_factor_distance,every_query_er_represented,every_query_surface_represented,support_coverage_score
run_bddca7d2b4154930be41,2,104729,RANDOM_BLOCK,5,E0xS0;E0xS1;E1xS2;E2xS0;E2xS2,E0xS2;E1xS0;E2xS1,3,3,5,1,1,24,2.4,1,1.0,True,True,0.8
run_ff5f1d8cfa13b9285114,2,104729,JOINT_FACTOR_COVERAGE,5,E0xS0;E0xS1;E1xS2;E2xS0;E2xS2,E0xS2;E1xS0;E2xS1,3,3,5,1,1,24,2.4,1,1.0,True,True,0.8
run_0c49654563ed900c9ea8,2,130363,RANDOM_BLOCK,1,E0xS1,E0xS2;E1xS0;E2xS1,1,1,1,1,1,0,0.0,1,1.6666666666666667,False,False,0.16666666666666666
run_502c46e50e7ae3489d2a,2,130363,RANDOM_BLOCK,3,E0xS0;E0xS1;E2xS2,E0xS2;E1xS0;E2xS1,2,3,3,2,0,8,2.6666666666666665,1,1.0,False,True,0.75
run_efcc1092b1041d87d687,2,130363,ER_BALANCED,3,E0xS0;E1xS1;E2xS0,E0xS2;E1xS0;E2xS1,3,2,3,0,2,6,2.0,1,1.3333333333333333,True,False,0.6666666666666666
run_b586f732a77dad9a43b7,2,130363,SURFACE_BALANCED,3,E1xS1;E1xS2;E2xS0,E0xS2;E1xS0;E2xS1,2,3,3,2,0,6,2.0,1,1.0,False,True,0.6666666666666666
run_dbd0e8e52f3ca129a2fa,2,130363,JOINT_FACTOR_COVERAGE,3,E0xS1;E1xS2;E2xS0,E0xS2;E1xS0;E2xS1,3,3,3,0,0,8,2.6666666666666665,1,1.0,True,True,0.8333333333333333
run_fe00e651610faa2f813f,2,130363,RANDOM_BLOCK,5,E0xS0;E0xS1;E1xS2;E2xS0;E2xS2,E0xS2;E1xS0;E2xS1,3,3,5,1,1,24,2.4,1,1.0,True,True,0.8
run_16a27aa839780038eab6,2,130363,JOINT_FACTOR_COVERAGE,5,E0xS0;E0xS1;E1xS2;E2xS0;E2xS2,E0xS2;E1xS0;E2xS1,3,3,5,1,1,24,2.4,1,1.0,True,True,0.8
run_49e235c342b1a34c2cd7,2,155921,RANDOM_BLOCK,1,E2xS0,E0xS2;E1xS0;E2xS1,1,1,1,1,1,0,0.0,1,2.0,False,False,0.16666666666666666
run_7e0c7a45e33a353f54ad,2,155921,RANDOM_BLOCK,3,E0xS1;E1xS1;E2xS2,E0xS2;E1xS0;E2xS1,3,2,3,0,2,6,2.0,1,1.0,True,False,0.6666666666666666
run_e4bd4fe4ad9460b49523,2,155921,ER_BALANCED,3,E0xS0;E1xS1;E2xS0,E0xS2;E1xS0;E2xS1,3,2,3,0,2,6,2.0,1,1.3333333333333333,True,False,0.6666666666666666
run_03810d7d246d98a89218,2,155921,SURFACE_BALANCED,3,E0xS0;E1xS1;E1xS2,E0xS2;E1xS0;E2xS1,2,3,3,2,0,6,2.0,1,1.0,False,True,0.6666666666666666
run_ad27c9ac65dd54c74687,2,155921,JOINT_FACTOR_COVERAGE,3,E0xS1;E1xS2;E2xS0,E0xS2;E1xS0;E2xS1,3,3,3,0,0,8,2.6666666666666665,1,1.0,True,True,0.8333333333333333
run_bd923ee0802407a8a7e1,2,155921,RANDOM_BLOCK,5,E0xS0;E0xS1;E1xS1;E1xS2;E2xS0,E0xS2;E1xS0;E2xS1,3,3,5,1,1,20,2.0,1,1.0,True,True,0.75
run_8b2d2a55f599b97b0437,2,155921,JOINT_FACTOR_COVERAGE,5,E0xS0;E0xS1;E1xS2;E2xS0;E2xS2,E0xS2;E1xS0;E2xS1,3,3,5,1,1,24,2.4,1,1.0,True,True,0.8
run_df49aa375880e0a35301,2,181081,RANDOM_BLOCK,1,E1xS2,E0xS2;E1xS0;E2xS1,1,1,1,1,1,0,0.0,1,1.6666666666666667,False,False,0.16666666666666666
