run_id,method,budget,strategy,source_seed,support_seed,outer_fold,labelled_support_rows,query_rows,query_condition_blocks,block_accuracy,block_macro_f1,row_accuracy,row_macro_f1,mean_within_block_agreement,minimum_within_block_agreement,support_coverage_score,unique_er_levels,unique_surfaces,unique_factor_cells,interpretation_valid,prediction_sha256
run_1847d9933261840daba4,FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,5,RANDOM_BLOCK,46,130363,0,35,1050,21,0.0,0.0,0.0,0.0,0.9723809523809525,0.86,0.775,3,3,5,True,eccce02c041e7a315f574756350dfd08d33ea107f3ce36fefbe6731a50497f45
run_a4ef53389534df221b89,TARGET_ONLY_COSINE_PROTOTYPE,5,JOINT_FACTOR_COVERAGE,46,130363,0,35,1050,21,0.09523809523809523,0.05714285714285715,0.09428571428571429,0.054083583720295,0.9733333333333333,0.52,0.775,3,3,5,True,b012ca7cc5f91342159fcd1a7ecbb996b017cccf335ad1abbb1def2562f58eeb
run_b7c1b7d21f151c0b35aa,FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,5,JOINT_FACTOR_COVERAGE,46,130363,0,35,1050,21,0.09523809523809523,0.0642857142857143,0.09428571428571429,0.06374389192296637,0.9914285714285714,0.92,0.775,3,3,5,True,eb74ea9a7a2b0a03b8d9c5462d9d1db5f706bc523510af59ebf21f6f8c24342f
run_b873cee89096f00031f2,TARGET_ONLY_COSINE_PROTOTYPE,1,RANDOM_BLOCK,46,155921,0,7,1050,21,0.14285714285714285,0.09603174603174604,0.14285714285714285,0.09600905007109026,0.9876190476190477,0.92,0.16666666666666666,1,1,1,True,e542e3f8e8f3e4f28599e09a835e6c5c02d161c6259998aa8dee476f87728219
run_1db360cb5b7a8b4fd461,FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,1,RANDOM_BLOCK,46,155921,0,7,1050,21,0.23809523809523808,0.23129251700680273,0.23333333333333334,0.22574902597658272,0.9857142857142857,0.88,0.16666666666666666,1,1,1,True,5ab6d13cc25f9822387efb30acf00a34884ff695f630c6465eb69252c5935da8
run_2c2261819755899d53d1,TARGET_ONLY_COSINE_PROTOTYPE,3,RANDOM_BLOCK,46,155921,0,21,1050,21,0.09523809523809523,0.05194805194805195,0.09523809523809523,0.05120327700972862,0.9657142857142857,0.52,0.75,3,2,3,True,0ede83df88b3d4b2215135317177c659be8bdd7bf4501778e27b0cf9e53e7900
run_04e2690d97084cf721f6,FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,RANDOM_BLOCK,46,155921,0,21,1050,21,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14198224923661948,0.9866666666666666,0.92,0.75,3,2,3,False,91aa29609d52f38bb5b2bb39e5248b0841cea19dc857191b55e088f45a47bae9
run_afbf2b271cdb15ec0e9e,TARGET_ONLY_COSINE_PROTOTYPE,3,ER_BALANCED,46,155921,0,21,1050,21,0.19047619047619047,0.1487179487179487,0.1961904761904762,0.1528563818130332,0.9857142857142857,0.86,0.6666666666666666,3,2,3,True,e0387f98049dca4e5dfa266734c3311e6630a278ef6f3b8264f3e5d990655cc2
run_0c41eb0f5be99a687ae3,FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,ER_BALANCED,46,155921,0,21,1050,21,0.19047619047619047,0.16904761904761906,0.18476190476190477,0.1670035110625278,0.9609523809523809,0.5,0.6666666666666666,3,2,3,False,7c1630093fe13c15315e2740770fc812b7bfa4bfabc6e9672fa0420b2f74af3c
run_147f28bb2406bda3d70d,TARGET_ONLY_COSINE_PROTOTYPE,3,SURFACE_BALANCED,46,155921,0,21,1050,21,0.047619047619047616,0.025974025974025976,0.06190476190476191,0.05222696136820739,0.9676190476190476,0.7,0.75,2,3,3,True,3953e1a471236518176c6aa0833152177737ede1348fda1147ac70bfc046b2a0
run_d57f62e477d23c40764e,FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,SURFACE_BALANCED,46,155921,0,21,1050,21,0.23809523809523808,0.19990723562152132,0.2361904761904762,0.2005810091558409,0.9676190476190476,0.5,0.75,2,3,3,False,75dca6dbaae515a8d329ca66b8d4c054da69271c42dbee0b4466765a4f8ce836
run_57eeba92ce51123938b5,TARGET_ONLY_COSINE_PROTOTYPE,3,JOINT_FACTOR_COVERAGE,46,155921,0,21,1050,21,0.19047619047619047,0.14285714285714285,0.19523809523809524,0.14961643896184285,0.978095238095238,0.86,0.8333333333333333,3,3,3,True,23ebfd079719bf8df7740a9cd58db715ff697bcbc893dd4c0824b081e065294d
run_2d4370ed037201bab1b3,FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,JOINT_FACTOR_COVERAGE,46,155921,0,21,1050,21,0.14285714285714285,0.1142857142857143,0.16476190476190475,0.1355261633711997,0.96,0.5,0.8333333333333333,3,3,3,False,eb8fe1482305ed04943f72be9aa1a83584a1f79deedcf0b8bd7e873255b1eaf5
run_a150e2d632015b8cd4c6,TARGET_ONLY_COSINE_PROTOTYPE,5,RANDOM_BLOCK,46,155921,0,35,1050,21,0.19047619047619047,0.1598639455782313,0.18857142857142858,0.1587403143075412,0.9914285714285714,0.94,0.75,3,3,5,True,577c5890df194dd2e65ef3567c5a25f35a970a20a160d340edd632244db0250d
run_3df119cd7041f66ae7a2,FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,5,RANDOM_BLOCK,46,155921,0,35,1050,21,0.14285714285714285,0.09157509157509157,0.1419047619047619,0.09298384792005268,0.980952380952381,0.88,0.75,3,3,5,True,4909daa7e3ae71d6822f22d990ee5fd3dd2ab6534a7a04bcd35895ee366fb74d
run_b49dee6772245697bee6,TARGET_ONLY_COSINE_PROTOTYPE,5,JOINT_FACTOR_COVERAGE,46,155921,0,35,1050,21,0.09523809523809523,0.06746031746031746,0.1180952380952381,0.08211055066905663,0.9390476190476191,0.5,0.775,3,3,5,True,2fcf2a4ef36312cc1f10899af19d43ca148d2051c39f1143d9f6c961c6106904
