run_id,method,budget,strategy,source_seed,support_seed,outer_fold,status,query_label_access_sequence,premature_query_label_access,query_metric_computation_count,prediction_sha256
run_aefbd8a3762055577c93,FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,JOINT_FACTOR_COVERAGE,42,155921,0,COMPLETE_PREDICTIONS_HASHED_LABELS_OPENED_METRICS_ONCE,QUERY_LABELS_SEALED>QUERY_PREDICTIONS_FROZEN>QUERY_LABELS_OPENED_AFTER_PREDICTION_FREEZE>QUERY_METRICS_COMPUTED_ONCE,False,1,018e0fd4864163488dab4c8ade2f79c5ff69a67954bf0fea8c431d5d39a1fbe9
run_bb5cb1a9fc4e5278d8b6,TARGET_ONLY_COSINE_PROTOTYPE,5,RANDOM_BLOCK,42,155921,0,COMPLETE_PREDICTIONS_HASHED_LABELS_OPENED_METRICS_ONCE,QUERY_LABELS_SEALED>QUERY_PREDICTIONS_FROZEN>QUERY_LABELS_OPENED_AFTER_PREDICTION_FREEZE>QUERY_METRICS_COMPUTED_ONCE,False,1,cf2658e69fed5f56d8e9a10f52b7306cdc39c87d56c1120fd8c0ef8d0ad6adeb
run_89e1d167cbfb3cb66557,FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,5,RANDOM_BLOCK,42,155921,0,COMPLETE_PREDICTIONS_HASHED_LABELS_OPENED_METRICS_ONCE,QUERY_LABELS_SEALED>QUERY_PREDICTIONS_FROZEN>QUERY_LABELS_OPENED_AFTER_PREDICTION_FREEZE>QUERY_METRICS_COMPUTED_ONCE,False,1,c3f07a80d651d9ff2bcf9067a31e95ebbcf369b875786fdfe3a23be351e292f3
run_81025d0cc50d606d5b70,TARGET_ONLY_COSINE_PROTOTYPE,5,JOINT_FACTOR_COVERAGE,42,155921,0,COMPLETE_PREDICTIONS_HASHED_LABELS_OPENED_METRICS_ONCE,QUERY_LABELS_SEALED>QUERY_PREDICTIONS_FROZEN>QUERY_LABELS_OPENED_AFTER_PREDICTION_FREEZE>QUERY_METRICS_COMPUTED_ONCE,False,1,9f312fddb95d9b05dc485514f743b0bddafc24230c97d2b269dbb4d4bf06f843
run_dbf77f501b71f17808ca,FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,5,JOINT_FACTOR_COVERAGE,42,155921,0,COMPLETE_PREDICTIONS_HASHED_LABELS_OPENED_METRICS_ONCE,QUERY_LABELS_SEALED>QUERY_PREDICTIONS_FROZEN>QUERY_LABELS_OPENED_AFTER_PREDICTION_FREEZE>QUERY_METRICS_COMPUTED_ONCE,False,1,8c0c86ec952235a813f0a480d41aa1c49a26489e90fef7384e93901d1c8decb9
run_5bb006ce89cc47749c98,TARGET_ONLY_COSINE_PROTOTYPE,1,RANDOM_BLOCK,42,181081,0,COMPLETE_PREDICTIONS_HASHED_LABELS_OPENED_METRICS_ONCE,QUERY_LABELS_SEALED>QUERY_PREDICTIONS_FROZEN>QUERY_LABELS_OPENED_AFTER_PREDICTION_FREEZE>QUERY_METRICS_COMPUTED_ONCE,False,1,730070e1396a9ca7cfdf23e58438d4e6b2a6c4d0f0ba3387d7b941f01986f3ed
run_6536e662b8a8b07658ac,FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,1,RANDOM_BLOCK,42,181081,0,COMPLETE_PREDICTIONS_HASHED_LABELS_OPENED_METRICS_ONCE,QUERY_LABELS_SEALED>QUERY_PREDICTIONS_FROZEN>QUERY_LABELS_OPENED_AFTER_PREDICTION_FREEZE>QUERY_METRICS_COMPUTED_ONCE,False,1,a154eebf73429e8392e7e39ab9ed7ca45061daddc28a00a2d17818f50bdaa203
run_8b365dd101ff4447d233,TARGET_ONLY_COSINE_PROTOTYPE,3,RANDOM_BLOCK,42,181081,0,COMPLETE_PREDICTIONS_HASHED_LABELS_OPENED_METRICS_ONCE,QUERY_LABELS_SEALED>QUERY_PREDICTIONS_FROZEN>QUERY_LABELS_OPENED_AFTER_PREDICTION_FREEZE>QUERY_METRICS_COMPUTED_ONCE,False,1,f56eaca547c40e7c71fc4f1b2abd1c12185b73b0ba362f808b0f0e75071bdf4e
run_d967c920db01a2c06a0a,FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,RANDOM_BLOCK,42,181081,0,COMPLETE_PREDICTIONS_HASHED_LABELS_OPENED_METRICS_ONCE,QUERY_LABELS_SEALED>QUERY_PREDICTIONS_FROZEN>QUERY_LABELS_OPENED_AFTER_PREDICTION_FREEZE>QUERY_METRICS_COMPUTED_ONCE,False,1,44e95e3cd986b28b8c6c59fe8d80c6993c9ad82b9e953b205c2d1ca19d659254
run_c4667e0fd0c45f2a5c49,TARGET_ONLY_COSINE_PROTOTYPE,3,ER_BALANCED,42,181081,0,COMPLETE_PREDICTIONS_HASHED_LABELS_OPENED_METRICS_ONCE,QUERY_LABELS_SEALED>QUERY_PREDICTIONS_FROZEN>QUERY_LABELS_OPENED_AFTER_PREDICTION_FREEZE>QUERY_METRICS_COMPUTED_ONCE,False,1,68721a4acd5c6cde54e523ec552c5b55c34deaed852a53db44253411b9a8147d
run_394e330a096eda0ce600,FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,ER_BALANCED,42,181081,0,COMPLETE_PREDICTIONS_HASHED_LABELS_OPENED_METRICS_ONCE,QUERY_LABELS_SEALED>QUERY_PREDICTIONS_FROZEN>QUERY_LABELS_OPENED_AFTER_PREDICTION_FREEZE>QUERY_METRICS_COMPUTED_ONCE,False,1,53be179e5471d396b998fe1742282d10c17a8e651156cb7bc45c6ed5423070df
run_26ced8c02e805a21aa36,TARGET_ONLY_COSINE_PROTOTYPE,3,SURFACE_BALANCED,42,181081,0,COMPLETE_PREDICTIONS_HASHED_LABELS_OPENED_METRICS_ONCE,QUERY_LABELS_SEALED>QUERY_PREDICTIONS_FROZEN>QUERY_LABELS_OPENED_AFTER_PREDICTION_FREEZE>QUERY_METRICS_COMPUTED_ONCE,False,1,d457fd160e753f19ecad0ef7b1eaf59e75c07395c1e6823df4c5aa126260f0d8
