budget,block_index,TagID,ER,surface,rows_per_unit,prototype_accuracy_mean,linear_accuracy_mean,linear_minus_prototype_accuracy,linear_accuracy_sd
500,53,6,2,2,50,0.0,0.0,0.0,0.0
500,54,7,0,0,50,0.4558,0.0,-0.4558,0.0
500,55,7,0,1,50,0.0,0.0,0.0,0.0
500,56,7,0,2,50,0.004,0.004,0.0,0.008040302522073696
500,57,7,1,0,50,0.2,0.4,0.2,0.49236596391733095
500,58,7,1,1,50,0.28340000000000004,0.0,-0.28340000000000004,0.0
500,59,7,1,2,50,0.0,0.0,0.0,0.0
500,60,7,2,0,50,0.5108,0.8,0.2892,0.40201512610368484
500,61,7,2,1,50,0.0098,0.196,0.1862,0.3939748235816112
500,62,7,2,2,50,0.0,0.9800000000000004,0.9800000000000004,4.463264492478967e-16
