budget,budget_label,claim_type,method,source_seed,support_seed,query_rows,query_condition_blocks,accuracy,macro_f1,balanced_accuracy,worst_class_f1,block_majority_accuracy,block_majority_macro_f1,prediction_sha256
7,1-shot (7 labels),TARGET_ASSISTED_LABELLED_TARGET_CALIBRATION,TARGET_ONLY_COSINE_PROTOTYPE,44,555029,3150,63,0.06603174603174604,0.058144337978690515,0.06603174603174604,0.0,0.06349206349206349,0.055645161290322584,6327f2c4c5d7ed1261d10a5af7dacf57c080749fb255e1f9f5e7a5ceaf8685fe
7,1-shot (7 labels),TARGET_ASSISTED_LABELLED_TARGET_CALIBRATION,TARGET_ONLY_COSINE_PROTOTYPE,44,580031,3150,63,0.18793650793650793,0.1811853068393329,0.18793650793650793,0.007633587786259542,0.19047619047619047,0.1839267285861713,3a34bae9c9473202bf204a0d92c99dae5b4b78e11ee9e14d7b3023ea59aa2da1
7,1-shot (7 labels),TARGET_ASSISTED_LABELLED_TARGET_CALIBRATION,TARGET_ONLY_COSINE_PROTOTYPE,45,104729,3150,63,0.15968253968253968,0.14550062603694142,0.15968253968253968,0.0,0.15873015873015872,0.1438796497620027,88f641f0ce1375d85e7f5084dd75cd9c6b38e7db36ea9234dbac3f15b08bfc6f
7,1-shot (7 labels),TARGET_ASSISTED_LABELLED_TARGET_CALIBRATION,TARGET_ONLY_COSINE_PROTOTYPE,45,130363,3150,63,0.17174603174603176,0.15357572782812576,0.17174603174603176,0.0,0.1746031746031746,0.15702280912364946,acd659f5db86f804c1d9ba793e8432d9d32ed7fbc7cc64b6cde6f2d7d8741aad
7,1-shot (7 labels),TARGET_ASSISTED_LABELLED_TARGET_CALIBRATION,TARGET_ONLY_COSINE_PROTOTYPE,45,155921,3150,63,0.15523809523809523,0.1567700965668288,0.15523809523809523,0.08394543546694648,0.15873015873015872,0.16047705795604955,5f63ea16dd699d1294e957c0f004afd24a902dfd0d5aa272a43506f229cbda0a
7,1-shot (7 labels),TARGET_ASSISTED_LABELLED_TARGET_CALIBRATION,TARGET_ONLY_COSINE_PROTOTYPE,45,181081,3150,63,0.11428571428571428,0.11391529301602708,0.1142857142857143,0.0,0.1111111111111111,0.11204481792717087,5ea10860c9e5978ad7cbb7aa412860f2e38d326b9dc8ae80f2765b1950ef814b
7,1-shot (7 labels),TARGET_ASSISTED_LABELLED_TARGET_CALIBRATION,TARGET_ONLY_COSINE_PROTOTYPE,45,205439,3150,63,0.11428571428571428,0.12166486421994763,0.1142857142857143,0.0019065776930409914,0.1111111111111111,0.11781076066790352,37d8e02c5a177be510542a9dcdb9f6a74575d70f84e3b7ed931f73094b7ccec2
7,1-shot (7 labels),TARGET_ASSISTED_LABELLED_TARGET_CALIBRATION,TARGET_ONLY_COSINE_PROTOTYPE,45,230003,3150,63,0.11206349206349206,0.08658581020602434,0.11206349206349207,0.0,0.1111111111111111,0.08571428571428572,99318e66f7be69a708171cbb7e91c1860f42be4f8692ed3d7513196759ae7dcc
7,1-shot (7 labels),TARGET_ASSISTED_LABELLED_TARGET_CALIBRATION,TARGET_ONLY_COSINE_PROTOTYPE,45,254959,3150,63,0.14285714285714285,0.1306297589423057,0.14285714285714285,0.00243605359317905,0.14285714285714285,0.13170373044322622,bca93a2cf54a88ea0333bd14a0ae9a19f8f20df2713a52ab58605ca1adc84994
7,1-shot (7 labels),TARGET_ASSISTED_LABELLED_TARGET_CALIBRATION,TARGET_ONLY_COSINE_PROTOTYPE,45,280001,3150,63,0.09492063492063492,0.08049443155989,0.09492063492063492,0.0,0.09523809523809523,0.08114409400123687,dd7ed6cd59773fae5433842c917db22a1369105178a0cf51b941b9e1fe9ab678
7,1-shot (7 labels),TARGET_ASSISTED_LABELLED_TARGET_CALIBRATION,TARGET_ONLY_COSINE_PROTOTYPE,45,305093,3150,63,0.1457142857142857,0.12074193056497516,0.1457142857142857,0.0,0.14285714285714285,0.12003023431594861,437afaf47c6811fe003cd3f6d8e546aef32df16532c5277a4b01b175f23e24c2
7,1-shot (7 labels),TARGET_ASSISTED_LABELLED_TARGET_CALIBRATION,TARGET_ONLY_COSINE_PROTOTYPE,45,330017,3150,63,0.13365079365079366,0.12122253499651005,0.13365079365079366,0.0,0.12698412698412698,0.11461434815472082,76e22e26c912bf52c5f5e1611d5746be8061fc7a2c073aa795a2ee6739175fad
7,1-shot (7 labels),TARGET_ASSISTED_LABELLED_TARGET_CALIBRATION,TARGET_ONLY_COSINE_PROTOTYPE,45,355031,3150,63,0.1653968253968254,0.15569734874518812,0.1653968253968254,0.0,0.15873015873015872,0.14802326727792564,45ff025b15703456905e3095f53bbd92ff1f84403c5fe356607f4841f9f14356
7,1-shot (7 labels),TARGET_ASSISTED_LABELLED_TARGET_CALIBRATION,TARGET_ONLY_COSINE_PROTOTYPE,45,380041,3150,63,0.15428571428571428,0.13563352493529776,0.1542857142857143,0.0,0.15873015873015872,0.1394779650990831,a2a9bcd9bfee4ef2b8c15e448d64129a083a96b5653239e97723c7ebe2dbb1b0
7,1-shot (7 labels),TARGET_ASSISTED_LABELLED_TARGET_CALIBRATION,TARGET_ONLY_COSINE_PROTOTYPE,45,405019,3150,63,0.14317460317460318,0.128045413303067,0.14317460317460315,0.0,0.14285714285714285,0.1282051282051282,b7820478fad09d93c69289fba84594ad9fa9433337655c1e188d578d0182df6a
