budget,true_class,predicted_class,mean_count_per_unit,row_normalized,unit_count
200,5,5,170.61,0.3791333333333334,100
200,5,6,46.52,0.10337777777777779,100
200,6,0,106.15,0.23588888888888887,100
200,6,1,22.81,0.05068888888888888,100
200,6,2,49.87,0.1108222222222222,100
200,6,3,70.58,0.15684444444444443,100
200,6,4,16.32,0.03626666666666666,100
200,6,5,104.79,0.23286666666666664,100
200,6,6,79.48,0.1766222222222222,100
500,0,0,0.09,0.00019999999999999998,100
500,0,1,82.85,0.1841111111111111,100
500,0,2,114.59,0.25464444444444445,100
500,0,3,20.81,0.04624444444444444,100
500,0,4,92.4,0.20533333333333334,100
500,0,5,40.86,0.09079999999999999,100
500,0,6,98.4,0.21866666666666668,100
500,1,0,26.95,0.05988888888888889,100
500,1,1,32.86,0.07302222222222222,100
500,1,2,131.61,0.2924666666666667,100
500,1,3,31.13,0.06917777777777778,100
500,1,4,46.11,0.10246666666666666,100
500,1,5,151.01,0.33557777777777775,100
500,1,6,30.33,0.0674,100
500,2,0,67.52,0.15004444444444442,100
500,2,1,66.48,0.14773333333333336,100
500,2,2,40.35,0.08966666666666667,100
500,2,3,66.09,0.14686666666666667,100
500,2,4,51.92,0.11537777777777779,100
500,2,5,119.71,0.2660222222222222,100
500,2,6,37.93,0.08428888888888889,100
500,3,0,21.55,0.04788888888888889,100
500,3,1,20.46,0.04546666666666667,100
500,3,2,108.09,0.2402,100
500,3,3,44.73,0.09939999999999999,100
500,3,4,106.34,0.2363111111111111,100
500,3,5,106.58,0.23684444444444444,100
500,3,6,42.25,0.09388888888888888,100
500,4,0,73.08,0.1624,100
500,4,1,33.8,0.0751111111111111,100
500,4,2,47.37,0.10526666666666666,100
500,4,3,114.43,0.2542888888888889,100
500,4,4,2.43,0.0054,100
500,4,5,136.86,0.30413333333333337,100
500,4,6,42.03,0.0934,100
500,5,0,58.87,0.13082222222222223,100
500,5,1,57.73,0.12828888888888887,100
500,5,2,12.35,0.027444444444444445,100
500,5,3,65.24,0.14497777777777776,100
500,5,4,34.59,0.07686666666666668,100
500,5,5,176.67,0.39259999999999995,100
500,5,6,44.55,0.09899999999999999,100
500,6,0,117.8,0.26177777777777783,100
500,6,1,20.61,0.04580000000000001,100
500,6,2,54.86,0.12191111111111112,100
500,6,3,67.71,0.15046666666666667,100
500,6,4,11.83,0.026288888888888893,100
500,6,5,104.0,0.23111111111111113,100
500,6,6,73.19,0.16264444444444445,100
