run_id,arm,lambda_max,fold,seed,accuracy,macro_f1,scope
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.30-S2-S46,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.3,S2,46,0.2861904761904762,0.29171381075266467,FAMILIAR_SOURCE_INNER_VALIDATION
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.30-S3-S42,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.3,S3,42,0.26476190476190475,0.23473184275577527,FAMILIAR_SOURCE_INNER_VALIDATION
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.30-S3-S43,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.3,S3,43,0.2857142857142857,0.2627643324850602,FAMILIAR_SOURCE_INNER_VALIDATION
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.30-S3-S44,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.3,S3,44,0.2885714285714286,0.24745460554453388,FAMILIAR_SOURCE_INNER_VALIDATION
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.30-S3-S45,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.3,S3,45,0.3352380952380952,0.2999867319921826,FAMILIAR_SOURCE_INNER_VALIDATION
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.30-S3-S46,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.3,S3,46,0.2876190476190476,0.24714757005650442,FAMILIAR_SOURCE_INNER_VALIDATION
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L1.00-S1-S42,ARM_A1_DOMAIN_POSITIVE_MATCHED,1.0,S1,42,0.259047619047619,0.25694962101706,FAMILIAR_SOURCE_INNER_VALIDATION
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L1.00-S1-S43,ARM_A1_DOMAIN_POSITIVE_MATCHED,1.0,S1,43,0.2557142857142857,0.25242759160616407,FAMILIAR_SOURCE_INNER_VALIDATION
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L1.00-S1-S44,ARM_A1_DOMAIN_POSITIVE_MATCHED,1.0,S1,44,0.31238095238095237,0.28284396069904577,FAMILIAR_SOURCE_INNER_VALIDATION
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L1.00-S1-S45,ARM_A1_DOMAIN_POSITIVE_MATCHED,1.0,S1,45,0.2580952380952381,0.22654306104993086,FAMILIAR_SOURCE_INNER_VALIDATION
