contrast,lambda_max,endpoint,point_estimate,lower_95,upper_95,paired_unit,unit_contrasts,replicates,rng_seed,contrast_specific_seed_offset
A2-A0,0.1,familiar_validation_macro_f1,0.0007052333863633371,-0.012514609837544429,0.014244350959029787,fold_x_seed,"[0.018977320783611196,0.009789732990127226,0.013764713937213735,0.06605111241521566,-0.024543972885835375,-0.0036122154310504473,-0.03758760274997461,0.015007723852248134,-0.04349735457096526,-0.01523580352146292,-0.017442224170535037,0.026865988264489216,0.019705162355482614,-0.0036392158449820577,-0.014024864628132017]",10000,20260809,False
A2-A0,0.1,position_probe_macro_f1,-0.006806690769456503,-0.019896462379827777,0.00678803695464454,fold_x_seed,"[0.004921744921744908,-0.038176712365594945,-0.0093828765297852,0.038041143957196155,0.004753801690840831,0.0,-0.04764605785592724,0.038149332233279876,-0.03334143640439735,-0.03330895045585913,0.015006151048262417,-0.00916087630778506,0.014875612882806366,0.0,-0.04683123835662917]",10000,20260809,False
A2-A0,0.1,tagid_probe_macro_f1,-0.007685505134863816,-0.026222728835942,0.010966876601783741,fold_x_seed,"[0.07076875505446933,-0.047548483262768976,0.011622108050679453,-0.0031211645497359886,0.013706610849467976,-0.06817055959913101,0.018515030598179716,-0.02159010923716803,-0.025348391104693585,-0.023331906189049012,0.0350863422291994,-0.029937681366252855,-0.06758947401804544,-0.0029231879231878533,0.024579533445079627]",10000,20260809,False
A2-A1,0.1,familiar_validation_macro_f1,-0.0027652415823201846,-0.01200785634198374,0.007131133523462834,fold_x_seed,"[0.02466112082573202,-0.011236912839205693,0.015317418529120053,0.03574346003532028,-0.021407771405356157,-0.01262131801613614,-0.032806443018435966,0.007321552827105116,-0.015583616154518587,0.012789561868022048,0.009712068346720726,0.0020333018797558666,-0.010226277332288702,-0.024927346234889236,-0.02024742304574839]",10000,20260809,False
A2-A1,0.1,position_probe_macro_f1,-0.011251832169096265,-0.02829702245524392,0.006059372806144129,fold_x_seed,"[0.014310023498905977,-0.038176712365594945,0.03353087638396768,0.038041143957196155,-0.00952380952380949,0.0,-0.04764605785592724,0.02379601869108383,-0.014283013262026412,-0.0428706479755826,0.01963913819841212,-0.04278410472114391,-0.04289769504460361,0.018525599946311866,-0.0784382424636334]",10000,20260809,False
A2-A1,0.1,tagid_probe_macro_f1,0.0028340039896873207,-0.010481657193200735,0.01653980407154887,fold_x_seed,"[0.03587372944515799,-0.004494077351220205,0.0051022786737072445,0.010242931671503086,0.0035807050092764303,-0.00810713096427379,0.009379833395755599,-0.04481704103552844,0.019093935942675444,-0.02192664478378764,0.026189263584221606,-0.03625802768659914,-0.019335281898307077,0.0019730269730270367,0.06601255886970167]",10000,20260809,False
A1-A0,0.3,familiar_validation_macro_f1,-0.0008755367774060089,-0.020006046482106767,0.016908994423935578,fold_x_seed,"[-0.004155603701736399,0.03048239430418212,0.014411071279109122,0.06506923579774826,-0.008977175830138628,0.036474526606559365,-0.06157523824732636,-0.009427664596900975,-0.060809789212814186,-0.0021374863539210254,-0.0587993571306831,0.020107036550636392,0.018961616752600496,0.029042312918942992,-0.02179893079734821]",10000,20260809,False
A1-A0,0.3,position_probe_macro_f1,0.013000161724370825,0.0015192945092511235,0.026096165342945184,fold_x_seed,"[0.004813519813519962,0.0,0.004813519813519962,0.014218115029232536,0.03800321912914095,0.0,0.004764605785592901,0.014353313542196044,-0.02382302892796384,0.009561697519723467,0.02893681356655975,0.0382578904047991,0.08160721461440801,-0.018525599946311866,-0.001978854478854597]",10000,20260809,False
A1-A0,0.3,tagid_probe_macro_f1,-0.01983747027621419,-0.03594931343002993,-0.004869241506769149,fold_x_seed,"[0.028724053724053733,-0.017262895834324388,0.013686789401075122,-0.04987615559044131,-0.04545549688406833,-0.06549133406276264,-0.0009549404352588442,-0.015487211201496903,-0.005794387685144009,-0.04984586841729696,0.01664969950684239,-0.015690975690975717,-0.08150051629043228,0.0036896436896436957,-0.012952458372626374]",10000,20260809,False
A2-A0,0.3,familiar_validation_macro_f1,0.016745184230556175,-0.0001602112452068751,0.032303892892312565,fold_x_seed,"[0.001481982265668924,0.01771646494570256,0.012503179713774959,0.046947084263579325,-0.045072673757470066,0.0038894218494897603,0.05386649843604463,0.046685056533905145,-0.055094558749791966,0.026158286720514012,-0.008592176021023579,0.043395203752785605,0.022479617914306277,0.03106598436100022,0.05374839122985686]",10000,20260809,False
